interval,lagging_type,lagging_desc,entry,exit,entry_desc,exit_desc,total_trades,win_rate,total_pnl,avg_pnl,profit_factor,max_drawdown,win_trades,lose_trades,return_dd_ratio,pf_over_trades
1h,close,終値基準 (Close vs Close_21_ago),E1,EX1,遅行スパン陽転のみ（エクスパンションなし）,遅行スパン陰転,875,0.36114285714285715,351298.9807128906,401.4845493861607,1.2396310701984778,146710.66284179688,316,559,2.394502034877372,0.0014167212230839746
1h,close,終値基準 (Close vs Close_21_ago),E1,EX2,遅行スパン陽転のみ（エクスパンションなし）,終値 < +1σ割れ,3488,0.4386467889908257,237278.28979492188,68.0270326246909,1.0896452329885271,111402.28271484375,1530,1958,2.129923050161214,0.0003123982892742337
1h,close,終値基準 (Close vs Close_21_ago),E1,EX3,遅行スパン陽転のみ（エクスパンションなし）,終値 < 21MA割れ,958,0.31837160751565763,285110.16845703125,297.60977918270487,1.1847551568843395,153670.0439453125,305,653,1.855339929221958,0.0012366964059335485
1h,close,終値基準 (Close vs Close_21_ago),E1,EX4,遅行スパン陽転のみ（エクスパンションなし）,遅行スパン陰転 or 終値 < +1σ割れ,3542,0.4395821569734613,220368.19458007812,62.21575228121912,1.083060061959532,100952.30102539062,1557,1985,2.182894221743921,0.0003057764150083377
1h,close,終値基準 (Close vs Close_21_ago),E1,EX5,遅行スパン陽転のみ（エクスパンションなし）,遅行スパン陰転 or 終値 < 21MA割れ,1152,0.33767361111111105,303139.6484375,263.14205593532984,1.195261642832824,120830.23071289062,389,763,2.5088063363695947,0.001037553509403493
1h,close,終値基準 (Close vs Close_21_ago),E1,EX6,遅行スパン陽転のみ（エクスパンションなし）,終値 < +1σ割れ or 終値 < 21MA割れ,2703,0.40732519422863483,228120.42236328125,84.39527279440668,1.1025431561474897,107139.12963867188,1101,1602,2.1291980169394726,0.0004078960992036588
1h,close,終値基準 (Close vs Close_21_ago),E1,EX7,遅行スパン陽転のみ（エクスパンションなし）,遅行スパン陰転 or 終値 < +1σ割れ or 終値 < 21MA割れ,2757,0.41022850924918397,210380.70678710938,76.30783706460261,1.0944013323467445,113379.36401367188,1131,1626,1.8555467180230485,0.0003969536932704913
1h,close,終値基準 (Close vs Close_21_ago),E2,EX1,E1 & 終値 > +1σ,遅行スパン陰転,590,0.3423728813559322,317878.8757324219,538.7777554786811,1.2487975735187071,171480.86547851562,202,388,1.8537279646063372,0.002116606056811368
1h,close,終値基準 (Close vs Close_21_ago),E2,EX2,E1 & 終値 > +1σ,終値 < +1σ割れ,1248,0.3293269230769231,286289.97802734375,229.39902085524338,1.1965009934860993,91441.19262695312,411,837,3.130864436505142,0.000958734770421554
1h,close,終値基準 (Close vs Close_21_ago),E2,EX3,E1 & 終値 > +1σ,終値 < 21MA割れ,648,0.37191358024691357,301690.2160644531,465.57132108711903,1.2282422047392803,122610.77880859375,241,407,2.4605521553322665,0.0018954355011408645
